action id edge_id distance d1 d2 d3 d4 d5 d6 d7 d8 d9 d10
1 1 18724 0.032585065282054626 0.48256167455085586 0.014832446024553692 0.46258050809294915 0.4912964241474037 0.2775206614544431 0.8106187891977247 0.034403573875645965 0.4900855818969966 0.07608934678134815 0.9523992311419316 
1 2 11835 0.04455638245043303 0.860161037286291 0.603190610968185 0.3816059859191179 0.28361821790671515 0.674964847134956 0.45683115105830563 0.6858614854745947 0.6618463200523511 0.1329781447122128 0.7678378139439905 
1 3 7845 0.9693881604049188 0.613326820546709 0.0442606328646209 0.004055144158407464 0.13397252704913387 0.941002271395834 0.3028605620290723 0.3661456016604264 0.8981962445391883 0.31436380495645067 0.5489821840124055 
1 4 14288 0.46997396696354576 0.6529777317087816 0.32468828442743336 0.501917020651839 0.8421751128457409 0.9697836444740757 0.23837400255296282 0.03174668920489765 0.30116425319003204 0.6066772167227487 0.07203477273496783 
1 5 2653 0.14968813497140154 0.5672354768631239 0.3741748177480889 0.6013045471136395 0.11291570189443623 0.7755127010728279 0.09660583318435267 0.16636374579324753 0.8074497520247557 0.9476939242234907 0.4332315025514858 
1 6 13569 0.4456072691491385 0.6807895695768549 0.14351321471670841 0.5218569500629634 0.8648825892767497 0.26702706855337954 0.3025700313220754 0.6604216892177226 0.9430254833478903 0.17430797798567554 0.17608943939308364 
1 7 11390 0.328063930829693 0.22366566959774914 0.5448505559010297 0.043672944096157074 0.8969263756232204 0.2426226815575736 0.26176727896970453 0.40479250686503176 0.15823204361339605 0.9206200381334538 0.49576027447993465 
1 8 7911 0.7363208496969479 0.9922712960133986 0.27169263005338373 0.4825945466913645 0.4998800088671864 0.16630904741127872 0.6742944826293085 0.8979883596385261 0.1357605712148201 0.5412924929330873 0.3492305169900286 
1 9 12709 0.4898957587909363 0.16579644053220766 0.4413468174535875 0.9686781985609425 0.4151736932178327 0.035317829787831156 0.002830426682370324 0.5354184513162129 0.05057294182209637 0.09274340534219172 0.10875641262696911 
1 10 14880 0.8334520458630328 0.7995256221671055 0.13929965688765256 0.8620365518071562 0.7746014557861699 0.9226435977748593 0.34322935138803123 0.25912155879990406 0.788729792072403 0.45824596601210976 0.32837487496084805 
1 11 17029 0.9095405975236686 0.15362734153599478 0.2373424569000443 0.6191120001144675 0.6870199456481508 0.6426002227117794 0.5885285628983279 0.8294231938453709 0.4789429532356768 0.8075888612596384 0.9623558468839565 
1 12 14266 0.851214653691989 0.24654052941681726 0.2893113187602273 0.08904659782525803 0.5972458415709334 0.5506209490212688 0.9836782884775022 0.10560332969814057 0.8167137599400113 0.16263337932528044 0.47732602910156197 
1 13 11829 0.5951327636887873 0.9195796756956715 0.19197332103443343 0.3498686863671552 0.07974567705000712 0.19465631564517616 0.20770266641880264 0.09600092980546204 0.9996980377175202 0.8875339549944073 0.46375997262576707 
1 14 17120 0.7224744887909799 0.4476223041420677 0.743444797065257 0.2085066532037394 0.5975306061232503 0.11592746993353031 0.7827646033997006 0.007747562301112398 0.4238781527412905 0.40846320893562404 0.3818426346133459 
1 15 21374 0.1997407381994476 0.7722759278380728 0.7971193350033632 0.8238868121448889 0.3480044920347488 0.360222134417845 0.4241711553886496 0.1936200755003209 0.7494461333936795 0.4666809416939993 0.2940014340468269 
1 16 16365 0.5075296156707131 0.2636220634323303 0.441645686622701 0.3415258701814652 0.726546393909013 0.4825965308099226 0.44676557819006135 0.47700809379806863 0.47991137269101614 0.6896387006328037 0.7198476893232635 
1 17 13280 0.9108775093670178 0.16850938621704237 0.6029229312565133 0.4157442131687372 0.5642387648335743 0.5955341148919353 0.7335490721200181 0.3061738462471799 0.5917724767898449 0.651456954494843 0.0738688389989891 
1 18 12994 0.6103062881081006 0.2823220462034699 0.186365561491604 0.16853039195927333 0.09545322921951538 0.790572738775103 0.9357357476153892 0.21987633831820674 0.744912691964874 0.9511437223975017 0.19172722525544061 
1 19 18740 0.9838800165005972 0.9149148611341485 0.8045531874119632 0.5934369565252073 0.3924790412286465 0.33934437370288417 0.8880359275209984 0.19078570248797022 0.9326373622552572 0.5640715119543798 0.7707692008819158 
1 20 10706 0.8702446821902247 0.6576341069659798 0.5782574046413455 0.03655077193065892 0.36596644565266623 0.935172143556388 0.3245611682620557 0.6383579907672864 0.7727143478224852 0.11741494093876381 0.789322330538058 
1 21 11319 0.9998379659971401 0.031138730964896166 0.9209823275856519 0.5111182541062665 0.3493556684867074 0.3974146652165286 0.577889456457702 0.3476968859110544 0.1455089742241399 0.8655634034033419 0.7064894398362059 
1 22 19984 0.45161572637080416 0.44191513200123533 0.6041687367490894 0.3537855954778847 0.42357949035096387 0.8249463390063332 0.9556480762271329 0.5128153522193066 0.3882394969041366 0.09703230435324883 0.6411542531293546 
1 23 1355 0.93220312044143 0.1874633777145578 0.6338814511159659 0.5700125055668297 0.9746576540880918 0.7935980998050621 0.36019086509285037 0.37611623823833595 0.049898122291304414 0.05183772866050185 0.3109734427656744 
1 24 7318 0.04954204395411921 0.17674323990674723 0.636186112199416 0.36046181496956364 0.1855770297544811 0.9473848480754395 0.04276934560990486 0.5980596301214961 0.428768925948003 0.3453378882969943 0.19493098178256762 
1 25 5335 0.16837755892893191 0.8088464047934548 0.9633032639937601 0.9410951791503737 0.3282512119312758 0.03732307384242284 0.8333622878763954 0.17619828567954587 0.7061845989572832 0.15313529605683496 0.6417589626458793 
1 26 12844 0.9692587486974379 0.3966053572277628 0.813166440415223 0.23504725178202468 0.42265186996529613 0.638798172107624 0.7232625133541666 0.533586372804219 0.849387123372081 0.0990704547284712 0.833650051856156 
1 27 17099 0.6197423374294808 0.6078287828306527 0.5325268752174284 0.012220350393190804 0.1580535990286892 0.6770672305406121 0.6934089901217156 0.09689496092715388 0.6369910296948245 0.47430595829878197 0.5769622095369061 
1 28 13079 0.5827767567176096 0.2873187389632087 0.0697579456032319 0.8825971274711313 0.6224176351897157 0.5581430534366153 0.026104048452275763 0.40020463475004764 0.031266987452560735 0.6531458186895345 0.43054761989785506 
1 29 5839 0.7269942391468164 0.3584253439639181 0.6253309806892837 0.9867250158432234 0.1710943357561402 0.20556893294532474 0.2892015722335409 0.8206624180193546 0.2469302036330141 0.2463842063123658 0.6147032420712142 
1 30 19156 0.5955464126075737 0.8737475019031358 0.7609270291857109 0.1253488064219187 0.12318568697325571 0.8385699395462952 0.6856894476020606 0.7674703149434065 0.17786123696445277 0.6931537940000837 0.06740894179514301 
1 31 14221 0.7382879679029406 0.18284881579976087 0.4217485405620617 0.04779348933466887 0.16952040830828385 0.7027471466088809 0.5781793107025668 0.4552710975394758 0.1857463794538683 0.3988357233067491 0.4598334244551251 
1 32 11947 0.6659641718160826 0.13904308725382053 0.25318753105457237 0.09114152536348785 0.013303474736251819 0.2780291965497752 0.9096668401725517 0.3084739755152728 0.7669035874644443 0.5370731213717516 0.28776380200233265 
1 33 20261 0.806655387093411 0.8097608685754774 0.5757927988444504 0.6352071161056971 0.7536886969020419 0.42765279021542957 0.5097591887856695 0.7130455453644915 0.6338861663386953 0.6088183675731145 0.6463096008521194 
