action id edge_id distance d1 d2 d3 d4 d5 d6 d7 d8 d9 d10
1 1 16182 0.5512294964465861 0.14251451678492963 0.13413497947406366 0.024316988581986207 0.0915756807816813 0.10335514988119744 0.11892194320610051 0.11871748213165291 0.02260287541379435 0.16255088906974643 0.08130949467484755 
1 2 5792 0.8021081318284957 0.030308018312325297 0.1988171857682574 0.007608573935939227 0.01483766590439466 0.02660510711439198 0.2724827200765314 0.19902118850440992 0.012200776866865697 0.09405638122272157 0.1440623822941626 
1 3 8757 0.8223782691653859 0.001971929544574625 0.16762358880630124 0.167693770725284 0.00787153164318093 0.14396937895208783 0.07200611181486942 0.0649009177429059 0.1703078839441172 0.12912870358050574 0.07452618324617323 
1 4 11249 0.8049287520673579 0.13021148020076345 0.15854213224895725 0.029594527518388893 0.03688823821939304 0.08300153709949099 0.12511800662719147 0.15713113181517285 0.11683904047159845 0.13575764321664932 0.02691626258239436 
1 5 4880 0.3358046754110494 0.01764219631959697 0.015427645812423781 0.08289842290617255 0.17595936226506922 0.2003462926217588 0.18680687463625018 0.06875160952532292 0.05276582508755882 0.16267338190712063 0.03672838891872617 
1 6 12359 0.36563028682553744 0.003919065937161977 0.12980119683679475 0.12140668278727874 0.16596593108011223 0.1345598341454115 0.04639249955446659 0.03643995555321701 0.11790118267041885 0.17791240767400635 0.06570124376113191 
1 7 17366 0.4429393313344334 0.14434197696075077 0.09645426921891892 0.041358137166887445 0.15162859770689732 0.0730958643284471 0.1622276717879502 0.11546043038904753 0.08818498398349045 0.004055272212065444 0.12319279624554474 
1 8 21448 0.5548947816841888 0.03292313055465939 0.15683717303941547 0.18087345583766046 0.1064849062249138 0.06403423058179745 0.08089534589595475 0.0738522243583627 0.07902425592415971 0.10837130043149207 0.11670397715158425 
1 9 16139 0.8779883589666911 0.054579979523511984 0.021540617344606765 0.193167016127319 0.10681284693953733 0.20638625373294636 0.03740171021080158 0.026459022196712423 0.12678151081566702 0.11506925678602602 0.11180178632287145 
1 10 3880 0.7024292472919066 0.09071992566680878 0.1608898157155646 0.21759604261079532 0.04217039608383183 0.16523014820789625 0.023689912991254117 0.07659543570340174 0.012920811279848295 0.043453525231045925 0.1667339865095531 
1 11 20357 0.8447164029770732 0.12823942650981768 0.019088428974085848 0.13272480724228863 0.06186291597910401 0.18454484996916812 0.15604857925965576 0.0616974855510569 0.11431737607150128 0.07090369711063431 0.07057243333268735 
1 12 1546 0.47203630506621264 0.13895364029145804 0.013535406042477782 0.03406893661074145 0.125000586894953 0.13649877141487646 0.11487485175181097 0.0689576680971314 0.10887482383738731 0.1396588471938471 0.11957646786531645 
1 13 11926 0.2543927264680629 0.011113624641388795 0.03886164857049016 0.1846808950339387 0.035654523948458985 0.19619420614928995 0.060156689262660136 0.055646792624507654 0.19262836485826418 0.03213940302439861 0.19292385188660266 
1 14 13700 0.44475174659860073 0.03084580966465069 0.1372880130366109 0.06187669852369069 0.14243201550990836 0.13686868733236082 0.06430457990346627 0.09849229442695352 0.14705277237533051 0.12540558575199331 0.055433543475035006 
1 15 14483 0.14956679535702322 0.14995227666151556 0.14991384622217324 0.13423877393475658 0.036587686748704745 0.056683492164806 0.18984965194168824 0.07846227371641101 0.012980048120699965 0.11174832051534796 0.07958362997389651 
1 16 17887 0.21229742875102864 0.1130367675548072 0.03040474553421797 0.07564707421640492 0.15350357038372026 0.08829841811410373 0.12926632910160185 0.006562556600220032 0.1289505583539596 0.12761646820954925 0.1467135119314152 
1 17 15723 0.33082613023258034 0.19512585184610406 0.046482294142328545 0.09118916203253277 0.05090508932163858 0.04654503918322415 0.09348747280753576 0.04191005560591362 0.17906825987299513 0.05281280321914771 0.20247397196857972 
1 18 8951 0.5164441046352979 0.03736777280666242 0.04925725559894206 0.05356255090604235 0.0973478607570231 0.14946124584918338 0.06141695994981876 0.17206624355336939 0.14635302163877842 0.1002146312509593 0.13295245768922082 
1 19 20331 0.5962516305479248 0.09471748617194244 0.10260205280772065 0.032077383127921105 0.13953571094909312 0.030169292069724716 0.084356239870263 0.1451070828713149 0.12655571764797954 0.11987956849771494 0.12499946598632554 
1 20 6003 0.9411855027922568 0.01661184661699065 0.03299769437314829 0.1743482193495834 0.12521707701113052 0.14028629475745305 0.07457110016561457 0.006972877653179455 0.14666714714092993 0.17145349574839375 0.11087424718357655 
